,ZEEL.NS,PVRINOX.NS,SUNTV.NS,TV18BRDCST.NS,NAZARA.NS,DISHTV.NS,NETWORK18.NS,NAVNETEDUL.NS,HATHWAY.NS,NDTV.NS
2021-03-18,207.10000610351562,,464.5,30.799999237060547,,10.100000381469727,41.04999923706055,84.30000305175781,29.75,64.05000305175781
2021-03-19,215.85000610351562,,478.45001220703125,31.200000762939453,,9.899999618530273,42.650001525878906,85.05000305175781,29.450000762939453,64.69999694824219
2021-03-22,214.3000030517578,,484.25,31.149999618530273,,9.850000381469727,42.099998474121094,83.4000015258789,29.850000381469727,62.45000076293945
2021-03-23,212.64999389648438,,481.1499938964844,31.5,,9.800000190734863,41.400001525878906,83.6500015258789,29.850000381469727,59.900001525878906
2021-03-24,205.1999969482422,,469.25,30.149999618530273,,9.75,40.20000076293945,82.55000305175781,29.5,61.79999923706055
2021-03-25,196.10000610351562,,451.6000061035156,30.0,,9.25,39.04999923706055,82.3499984741211,28.600000381469727,58.75
2021-03-26,199.9499969482422,,454.1000061035156,29.549999237060547,,9.399999618530273,37.70000076293945,81.75,25.649999618530273,58.79999923706055
2021-03-30,200.9499969482422,,463.8999938964844,29.149999618530273,796.0,9.350000381469727,36.400001525878906,81.0999984741211,25.149999618530273,57.45000076293945
2021-03-31,203.1999969482422,,470.29998779296875,28.75,733.1500244140625,9.25,36.400001525878906,80.0999984741211,25.700000762939453,56.45000076293945
2021-04-01,209.25,,478.3500061035156,29.200000762939453,835.3499755859375,10.300000190734863,38.0,83.6500015258789,25.350000381469727,56.04999923706055
2021-04-05,202.14999389648438,,469.1499938964844,28.299999237060547,825.5499877929688,10.050000190734863,36.79999923706055,81.05000305175781,24.049999237060547,55.95000076293945
2021-04-06,199.89999389648438,,477.75,28.200000762939453,817.5750122070312,10.050000190734863,36.650001525878906,80.9000015258789,23.950000762939453,55.900001525878906
2021-04-07,200.39999389648438,,476.95001220703125,28.850000381469727,824.7249755859375,10.199999809265137,37.400001525878906,81.19999694824219,24.200000762939453,56.79999923706055
2021-04-08,201.9499969482422,,480.6000061035156,29.0,819.6500244140625,10.100000381469727,37.099998474121094,81.4000015258789,23.799999237060547,57.150001525878906
2021-04-09,206.0500030517578,,493.45001220703125,28.950000762939453,806.6500244140625,9.899999618530273,36.95000076293945,81.55000305175781,24.049999237060547,58.150001525878906
2021-04-12,181.10000610351562,,453.8999938964844,26.549999237060547,746.875,9.25,34.95000076293945,78.3499984741211,22.25,57.79999923706055
2021-04-13,188.0500030517578,,465.1000061035156,27.200000762939453,819.5750122070312,9.300000190734863,35.70000076293945,78.05000305175781,22.75,56.95000076293945
2021-04-15,189.1999969482422,,464.29998779296875,27.049999237060547,808.2750244140625,9.199999809265137,35.099998474121094,77.9000015258789,22.5,55.349998474121094
