,RELIANCE.NS,ONGC.NS,BPCL.NS,IOC.NS,GAIL.NS,ATGL.NS,HINDPETRO.NS,PETRONET.NS,IGL.NS
2021-02-02,1925.800048828125,92.8499984741211,408.0,65.86666870117188,86.46666717529297,401.1000061035156,222.3000030517578,246.4499969482422,554.9000244140625
2021-02-03,1930.6500244140625,93.3499984741211,414.8999938964844,67.9000015258789,86.96666717529297,389.6499938964844,225.25,247.85000610351562,545.7999877929688
2021-02-04,1924.300048828125,97.6500015258789,418.54998779296875,69.06666564941406,87.13333129882812,388.04998779296875,229.60000610351562,250.39999389648438,545.4500122070312
2021-02-05,1923.75,97.6500015258789,415.0,68.26666259765625,85.46666717529297,382.04998779296875,225.0500030517578,243.75,537.0
2021-02-08,1951.449951171875,99.6500015258789,420.04998779296875,69.4000015258789,87.5999984741211,382.70001220703125,229.5500030517578,242.0500030517578,543.8499755859375
2021-02-09,1956.1500244140625,101.0,419.3500061035156,65.13333129882812,87.36666870117188,382.8500061035156,226.5500030517578,242.35000610351562,556.7999877929688
2021-02-10,1974.300048828125,100.0,415.79998779296875,64.5,89.06666564941406,382.29998779296875,224.89999389648438,240.89999389648438,556.5
2021-02-11,2055.699951171875,99.44999694824219,421.95001220703125,64.33333587646484,90.96666717529297,379.20001220703125,227.39999389648438,242.8000030517578,569.0499877929688
2021-02-12,2041.5999755859375,97.0,418.1000061035156,63.400001525878906,88.5999984741211,382.54998779296875,223.85000610351562,242.1999969482422,559.7999877929688
2021-02-15,2032.5999755859375,98.44999694824219,419.0,62.766666412353516,89.19999694824219,426.95001220703125,222.60000610351562,239.9499969482422,541.75
2021-02-16,2059.5,103.75,417.95001220703125,63.733333587646484,88.73332977294922,497.0,225.64999389648438,242.8000030517578,547.6500244140625
2021-02-17,2083.25,102.25,411.70001220703125,63.33333206176758,89.5999984741211,509.95001220703125,234.4499969482422,240.3000030517578,545.2000122070312
